id,no_serie,hora_partida,hora_chegada,partida,chegada
1021,B737-001,2025-07-24 12:00:00,2025-07-24 14:00:00,FRA,CDG
1022,A330-003,2025-07-24 08:00:00,2025-07-24 09:00:00,ORY,LGW
1023,A330-002,2025-07-24 17:00:00,2025-07-24 20:00:00,CDG,LIS
1024,A320-002,2025-07-24 19:00:00,2025-07-24 22:00:00,LGW,FRA
1025,B737-003,2025-07-24 08:00:00,2025-07-24 11:00:00,LGW,LIS
1026,A330-002,2025-07-25 17:00:00,2025-07-25 18:00:00,LIS,MAD
1027,B737-002,2025-07-25 11:00:00,2025-07-25 13:00:00,LHR,ORY
1028,A320-002,2025-07-25 16:00:00,2025-07-25 17:00:00,FRA,CDG
1029,A330-003,2025-07-25 13:00:00,2025-07-25 14:00:00,LGW,MAD
1030,B737-003,2025-07-25 09:00:00,2025-07-25 10:00:00,LIS,LGW
1031,A320-002,2025-07-26 06:00:00,2025-07-26 08:00:00,CDG,LIS
1032,A330-002,2025-07-26 17:00:00,2025-07-26 19:00:00,MAD,FCO
1033,A330-001,2025-07-26 20:00:00,2025-07-26 22:00:00,MAD,CDG
1034,A320-003,2025-07-26 20:00:00,2025-07-26 22:00:00,OPO,FCO
1035,A320-001,2025-07-26 14:00:00,2025-07-26 16:00:00,FRA,LGW
1036,A320-002,2025-07-27 18:00:00,2025-07-27 19:00:00,LIS,CDG
1037,B737-003,2025-07-27 06:00:00,2025-07-27 08:00:00,LGW,LHR
1038,B737-002,2025-07-27 07:00:00,2025-07-27 08:00:00,ORY,LGW
1039,B737-004,2025-07-27 08:00:00,2025-07-27 10:00:00,FCO,LGW
1040,A330-003,2025-07-27 17:00:00,2025-07-27 18:00:00,MAD,CDG
1041,A330-003,2025-07-28 17:00:00,2025-07-28 18:00:00,CDG,FCO
1042,A320-002,2025-07-28 16:00:00,2025-07-28 17:00:00,CDG,FRA
1043,A330-002,2025-07-28 08:00:00,2025-07-28 09:00:00,FCO,MAD
1044,A330-001,2025-07-28 11:00:00,2025-07-28 12:00:00,CDG,OPO
1045,A320-003,2025-07-28 12:00:00,2025-07-28 15:00:00,FCO,ORY
1046,A330-003,2025-07-29 09:00:00,2025-07-29 10:00:00,FCO,LHR
1047,B737-004,2025-07-29 12:00:00,2025-07-29 15:00:00,LGW,LIS
1048,A330-001,2025-07-29 19:00:00,2025-07-29 21:00:00,OPO,BCN
1049,A330-002,2025-07-29 06:00:00,2025-07-29 08:00:00,MAD,CDG
1050,B737-001,2025-07-29 12:00:00,2025-07-29 13:00:00,CDG,LIS
1051,A330-001,2025-07-30 08:00:00,2025-07-30 11:00:00,BCN,ORY
1052,B737-003,2025-07-30 07:00:00,2025-07-30 09:00:00,LHR,LGW
1053,B737-002,2025-07-30 10:00:00,2025-07-30 12:00:00,LGW,OPO
1054,A320-001,2025-07-30 13:00:00,2025-07-30 16:00:00,LGW,FCO
1055,A320-003,2025-07-30 07:00:00,2025-07-30 10:00:00,ORY,LGW
1056,A330-003,2025-07-31 08:00:00,2025-07-31 10:00:00,LHR,MAD
1057,A320-003,2025-07-31 10:00:00,2025-07-31 12:00:00,LGW,LIS
1058,B737-001,2025-07-31 10:00:00,2025-07-31 11:00:00,LIS,FCO
1059,B737-003,2025-07-31 15:00:00,2025-07-31 16:00:00,LGW,LHR
1060,B737-002,2025-07-31 18:00:00,2025-07-31 21:00:00,OPO,ORY
